Lithuania,35.32,11.79,14.08,13.82,13.42,14.32,14.42,0.04
Luxembourg,11.75,8.84,12.16,11.24,9.34,9.61,9.95,0.03
Macao,0.98,1.20,1.62,1.18,1.10,1.26,1.29,0.00
Madagascar,0.70,1.42,2.22,2.20,3.82,4.33,4.43,0.01
Malawi,0.46,0.79,1.44,1.47,1.44,1.63,1.67,0.00
Malaysia,57.84,133.75,182.50,216.59,249.58,246.77,257.84,0.68
Maldives,0.07,0.38,0.48,0.88,0.82,0.85,0.87,0.00
Mali,0.39,0.50,0.55,0.58,0.90,1.07,1.10,0.00
Malta,2.35,2.16,2.77,2.63,1.70,1.54,1.51,0.00
Martinique,0.94,1.06,1.12,1.34,2.37,2.44,2.46,0.01
Mauritania,0.68,2.58,2.91,2.06,2.69,3.14,3.24,0.01
Mauritius,1.19,2.45,2.98,3.68,3.99,4.28,4.38,0.01
Mexico,290.47,397.06,448.58,479.21,487.73,507.40,495.78,1.31
Moldova,31.96,6.79,8.14,8.36,8.24,7.89,8.62,0.02
Mongolia,13.15,9.05,11.08,14.37,17.38,18.40,19.53,0.05
Morocco,22.39,33.44,44.37,51.98,61.53,66.63,68.31,0.18
Mozambique,1.18,1.60,2.70,3.68,6.59,9.59,9.88,0.03
Myanmar/Burma,4.86,10.05,11.18,8.53,25.18,31.55,32.65,0.09
Namibia,1.54,1.91,2.50,3.09,4.12,4.45,4.51,0.01
Nepal,1.07,3.38,3.30,4.81,6.54,9.95,10.31,0.03
Netherlands,161.28,176.54,181.43,185.52,169.00,165.92,162.29,0.43
New Caledonia,1.62,1.88,2.45,4.95,5.03,6.92,7.34,0.02
New Zealand,23.89,33.31,36.69,33.99,35.85,37.35,36.41,0.10
Nicaragua,1.94,3.76,4.31,4.63,5.53,6.17,6.25,0.02
Niger,0.87,0.70,0.80,1.43,2.05,2.18,2.27,0.01
Nigeria,74.72,99.95,101.28,91.04,96.59,107.57,110.69,0.29
North Korea,131.37,73.74,79.57,52.79,25.76,29.92,31.59,0.08
North Macedonia,11.20,9.05,9.71,9.17,7.94,8.18,8.07,0.02
Norway,37.32,42.83,44.17,46.75,45.82,49.83,50.47,0.13
Oman,15.58,25.32,33.13,52.59,78.80,81.30,85.21,0.22
Pakistan,64.31,107.82,130.35,150.50,168.18,189.31,196.18,0.52
Palau,2.15,2.12,1.73,2.11,1.20,1.24,1.27,0.00
Panama,2.74,5.21,7.20,9.44,11.53,11.27,11.75,0.03
Papua New Guinea,2.31,2.26,4.38,3.08,3.70,3.82,3.92,0.01
Paraguay,2.26,3.76,3.94,5.18,6.35,7.28,7.53,0.02
Peru,21.04,28.93,31.64,45.11,53.70,54.38,57.38,0.15
Philippines,43.70,76.48,81.78,87.73,119.26,143.42,147.86,0.39
Poland,371.39,312.38,316.58,328.39,304.54,327.44,333.86,0.88
Portugal,43.68,64.51,68.09,53.53,52.36,56.52,52.61,0.14
Puerto Rico,2.06,2.19,2.27,1.84,2.79,2.95,3.18,0.01
Qatar,17.00,31.74,43.17,69.60,97.83,103.81,102.91,0.27
Réunion,1.01,2.02,2.37,2.96,2.68,2.90,2.98,0.01
Romania,187.18,96.93,104.51,82.58,79.24,81.08,80.17,0.21
Russia,2355.39,1599.77,1623.00,1664.67,1694.50,1688.41,1748.35,4.61
Rwanda,0.53,0.62,0.75,0.79,0.95,1.10,1.12,0.00
Saint Helena, Ascension and Tristan da Cunha,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.00
Saint Kitts and Nevis,0.03,0.04,0.06,0.14,0.24,0.24,0.24,0.00
Saint Lucia,0.08,0.17,0.16,0.21,0.36,0.37,0.37,0.00
Saint Pierre and Miquelon,0.15,0.03,0.03,0.04,0.08,0.08,0.08,0.00
Saint Vincent and the Grenadines,0.04,0.07,0.09,0.11,0.18,0.18,0.18,0.00
Samoa,0.13,0.11,0.12,0.12,0.13,0.13,0.13,0.00
São Tomé and Príncipe,0.05,0.05,0.06,0.13,0.14,0.15,0.15,0.00
Saudi Arabia,172.85,264.17,339.63,478.23,608.80,631.74,624.99,1.65
